역사명,노선명,역위도,역경도,역사도로명주소
우장산,5호선,37.548864,126.83633,서울특별시 강서구 강서로 지하262(화곡동)
월계역,경원선,37.633114,127.058835,서울시 노원구 월계로 53길 40(월계2동 261)
월곡(동덕여대),6호선,37.60192,127.041492,서울특별시 성북구 월곡로 지하107(하월곡동)
월드컵경기장(성산),6호선,37.569439,126.899077,서울특별시 마포구 월드컵로 지하240(성산동)
을지로3가,2호선,37.566292,126.990873,서울특별시 중구 을지로 지하106(을지로3가)
을지로3가,3호선,37.566299,126.992616,서울특별시 중구 을지로 지하129(을지로3가)
을지로4가,2호선,37.566611,126.997622,서울특별시 중구 을지로 지하178(을지로4가)
을지로4가,5호선,37.56728,126.998127,서울특별시 중구 창경궁로 지하51(주교동)
을지로입구,2호선,37.565998,126.982569,서울특별시 중구 을지로 지하42(을지로1가)
응봉역,경원선,37.550433,127.034824,서울시 성동구 고산자로 123(응봉동)
응암,6호선,37.59859,126.915583,서울특별시 은평구 증산로 지하477(신사동)
이대,2호선,37.556734,126.945897,서울특별시 마포구 신촌로 지하180(염리동)
이수,7호선,37.485258,126.981766,서울특별시 동작구 사당로 지하310(사당동)
이촌역,경원선,37.522476,126.973816,서울시 용산구 이촌로 71길 42
이촌(국립중앙박물관),4호선,37.52919,126.9679818,서울특별시 용산구 서빙고로 지하83(용산동5가)
이태원,6호선,37.534485,126.994369,서울특별시 용산구 이태원로 지하177(이태원동)
일원,3호선,37.48389,127.08416,서울특별시 강남구 일원로 지하121(일원동)
자양(뚝섬한강공원),7호선,37.531558,127.066714,서울특별시 광진구 능동로 10(자양동)
잠실(송파구청),2호선,37.513305,127.100129,서울특별시 송파구 올림픽로 지하265(신천동)
잠실(송파구청),8호선,37.514649,127.104267,서울특별시 송파구 올림픽로 305(신천동)
잠실나루,2호선,37.520688,127.103836,서울특별시 송파구 오금로 20(신천동)
잠실새내,2호선,37.511653,127.086224,서울특별시 송파구 올림픽로 지하140(잠실동)
잠원,3호선,37.512989,127.011613,서울특별시 서초구 잠원로4길 지하46(잠원동)
장승배기,7호선,37.504845,126.939025,서울특별시 동작구 상도로 지하188(상도동) 
장지,8호선,37.478609,127.126229,서울특별시 송파구 송파대로 지하82(장지동)
장한평,5호선,37.561438,127.064601,서울특별시 동대문구 천호대로 지하405(장안동)
정릉,우이신설선,37.60278,127.01345,서울특별시 성북구 아리랑로 지하 122
제기동,1호선,37.578116,127.034902,서울특별시 동대문구 왕산로 지하93(제기동)
종각,1호선,37.570203,126.983116,서울특별시 종로구 종로 지하55(종로1가)
종로3가,1호선,37.570429,126.992095,서울특별시 종로구 종로 지하129(종로3가)
종로3가,3호선,37.571537,126.991837,서울특별시 종로구 돈화문로 지하30(묘동)
종로3가(탑골공원),5호선,37.572546,126.990447,서울특별시 종로구 돈화문로11길 지하 26(돈의동)
종로5가,1호선,37.570971,127.0019,서울특별시 종로구 종로 지하216(종로5가)
종합운동장,2호선,37.511128,127.073841,서울특별시 송파구 올림픽로 지하23(잠실동)
종합운동장,수도권  도시철도 9호선,37.511156,127.076917,서울특별시 송파구 올림픽로 23
중계,7호선,37.645052,127.064084,서울특별시 노원구 동일로 지하1308-1(중계동)
중곡,7호선,37.565877,127.084291,서울특별시 광진구 능동로 지하417(중곡동)
중랑역,경의중앙선,37.594948,127.076152,서울특별시 중랑구 중랑역로 9
중랑역,경춘선,37.594948,127.076152,서울특별시 중랑구 중랑역로 9
중앙보훈병원,수도권  도시철도 9호선,37.528807,127.148488,서울특별시 강동구 명일로 지하 117
중화,7호선,37.602604,127.079254,서울특별시 중랑구 동일로 지하797(중화동)
증미,서울 도시철도 9호선,37.55785,126.861067,서울특별시 강서구 양천로 지하560
증산(명지대앞),6호선,37.583989,126.909785,서울특별시 은평구 증산로 지하306(증산동)
창동,4호선,37.653315,127.048304,서울특별시 도봉구 마들로11길 77(창동)
창동역,경원선,37.653181,127.047663,서울시 도봉구 마들로 11길 77(창1동 135-86)
창신,6호선,37.579772,127.015246,서울특별시 종로구 지봉로 지하112(창신동)
천왕,7호선,37.486699,126.838684,서울특별시 구로구 오리로 지하1154(천왕동)
천호(풍납토성),5호선,37.538566,127.123539,서울특별시 강동구 천호대로 지하997(천호동)
천호(풍납토성),8호선,37.53792,127.123179,서울특별시 강동구 천호대로 지하997(천호동)
청계산입구,신분당선,37.44871485,127.0543396,서울특별시 서초구 청계산로 지하 179
청구,5호선,37.560237,127.01379,서울특별시 중구 청구로 지하77(신당동)
청구,6호선,37.560221,127.013776,서울특별시 중구 청구로 지하77(신당동)
청담,7호선,37.519097,127.051851,서울특별시 강남구 학동로 지하508(청담동)
청량리역,경원선,37.580543,127.048077,서울시 동대문구 왕산로 214
청량리역,경의중앙선,37.580043,127.047588,서울시 동대문구 왕산로 214
청량리(서울시립대입구),1호선,37.580148,127.045063,서울특별시 동대문구 왕산로 지하205(전농동)
총신대입구(이수),4호선,37.487521,126.982309,서울특별시 동작구 동작대로 지하117(사당동)
총신대입구(이수),7호선,37.485258,126.981766,서울특별시 동작구 사당로 지하310(사당동)
충무로,3호선,37.561382,126.994173,서울특별시 중구 퇴계로 지하214(필동2가)
충무로,4호선,37.561352,126.994573,서울특별시 중구 퇴계로 지하214(필동2가)
충정로(경기대입구),2호선,37.559742,126.964455,서울특별시 서대문구 서소문로 지하17(충정로3가)
충정로(경기대입구),5호선,37.560061,126.962783,서울특별시 서대문구 충정로 지하 28-1(충정로3가)
태릉입구,6호선,37.617319,127.074741,서울특별시 노원구 동일로 지하 992-1(공릉동)
태릉입구,7호선,37.618519,127.075361,서울특별시 노원구 동일로 지하 992-1(공릉동)
하계,7호선,37.636363,127.067999,서울특별시 노원구 동일로 지하1196(하계동)
학동,7호선,37.514262,127.031738,서울특별시 강남구 학동로 지하180(논현동)
학여울,3호선,37.496787,127.0708601,서울특별시 강남구 남부순환로 지하3104(대치동)
한강진,6호선,37.53956,127.001729,서울특별시 용산구 이태원로 지하287(한남동)
한남역,경원선,37.529361,127.008984,서울시 용산구 독서당로6길 12-13(한남동)
한성대입구(삼선교),4호선,37.58838,127.005951,서울특별시 성북구 삼선교로 지하1(삼선동1가)
한성백제,수도권  도시철도 9호선,37.516369,127.116211,서울특별시 송파구 위례성대로 지하 51
한양대,2호선,37.555758,127.0436594,서울특별시 성동구 왕십리로 206(행당동)
한티역,분당선,37.496208,127.052883,서울시 강남구 선릉로 지하 228
합정,2호선,37.550025,126.914557,서울특별시 마포구 양화로 지하55(서교동)
합정,6호선,37.549033,126.913546,서울특별시 마포구 양화로 지하45(합정동)
행당,5호선,37.557297,127.029482,서울특별시 성동구 행당로 지하89(행당동)
혜화,4호선,37.582116,127.001929,서울특별시 종로구 대학로 지하120(명륜4가)
홍대입구,2호선,37.556748,126.923643,서울특별시 마포구 양화로 지하160(동교동)
홍대입구,인천국제공항선,37.55774103,126.9264939,서울특별시 마포구 양화로 188
홍대입구역,경의중앙선,37.55758,126.926833,서울시 마포구 양화로 지하 188
홍제,3호선,37.588851,126.944092,서울특별시 서대문구 통일로 지하440-1(홍제동)
화계,우이신설선,37.63428,127.0175,서울특별시 강북구 삼양로 341
화곡,5호선,37.541585,126.840436,서울특별시 강서구 화곡로 지하168(화곡동)
화랑대(서울여대입구),6호선,37.619875,127.084106,서울특별시 노원구 화랑로 지하510(공릉동)
회기역,경원선,37.589602,127.057936,서울시 동대문구 회기로196(휘경동 317-101)
회기역,경의중앙선,37.589802,127.057936,서울시 동대문구 회기로196(휘경동 317-101)
회현(남대문시장),4호선,37.558698,126.978346,서울특별시 중구 퇴계로 지하54(남창동)
효창공원앞,6호선,37.539279,126.961348,서울특별시 용산구 백범로 지하287(효창동)
효창공원앞역,경의중앙선,37.538789,126.962339,서울시 용산구 용문동 5-157
흑석(중앙대입구),서울 도시철도 9호선,37.508889,126.963611,서울특별시 동작구 현충로 지하90 (흑석동)
